Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
136, 14, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
148, 2, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
146, 4, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
123, 27, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
124, 26, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
148, 2, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
124, 26, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
124, 26, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
120, 30, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
147, 3, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
125, 25, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
124, 26, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
120, 30, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
147, 3, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
119, 31, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
147, 3, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
124, 26, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
146, 4, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
123, 27, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
146, 4, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
146, 4, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
122, 28, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
125, 25, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
122, 28, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
123, 27, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
147, 3, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
121, 29, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
125, 25, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
123, 27, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
124, 26, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
144, 6, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
143, 7, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
148, 2, 3, 0,cloth, 1
125, 25, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
127, 23, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
139, 11, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
142, 8, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
126, 24, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
133, 17, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
129, 21, 3, 0,cloth, 1
131, 19, 3, 0,cloth, 1
140, 10, 3, 0,cloth, 1
132, 18, 3, 0,cloth, 1
137, 13, 3, 0,cloth, 1
145, 5, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
136, 14, 3, 0,cloth, 1
134, 16, 3, 0,cloth, 1
130, 20, 3, 0,cloth, 1
141, 9, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
128, 22, 3, 0,cloth, 1
135, 15, 3, 0,cloth, 1
138, 12, 3, 0,cloth, 1
