Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
131, 19, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
124, 26, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
147, 3, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
123, 27, 3, 0,cloth, 0.6
147, 3, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
128, 22, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
125, 25, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
125, 25, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
147, 3, 3, 0,cloth, 0.6
128, 22, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
128, 22, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
126, 24, 3, 0,cloth, 0.6
147, 3, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
147, 3, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
126, 24, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
148, 2, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
125, 25, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
125, 25, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
146, 4, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
125, 25, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
128, 22, 3, 0,cloth, 0.6
128, 22, 3, 0,cloth, 0.6
126, 24, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
128, 22, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
123, 27, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
126, 24, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
116, 34, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
126, 24, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
126, 24, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
125, 25, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
128, 22, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
146, 4, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
146, 4, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
149, 1, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
144, 6, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
126, 24, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
146, 4, 3, 0,cloth, 0.6
127, 23, 3, 0,cloth, 0.6
129, 21, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
142, 8, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
132, 18, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
138, 12, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
128, 22, 3, 0,cloth, 0.6
135, 15, 3, 0,cloth, 0.6
130, 20, 3, 0,cloth, 0.6
136, 14, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
134, 16, 3, 0,cloth, 0.6
143, 7, 3, 0,cloth, 0.6
139, 11, 3, 0,cloth, 0.6
141, 9, 3, 0,cloth, 0.6
133, 17, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
131, 19, 3, 0,cloth, 0.6
140, 10, 3, 0,cloth, 0.6
137, 13, 3, 0,cloth, 0.6
145, 5, 3, 0,cloth, 0.6
