Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
143, 7, 3, 0,cloth, 0.2
125, 25, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
130, 20, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
148, 2, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
148, 2, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
150, 0, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
133, 17, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
131, 19, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
131, 19, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
130, 20, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
126, 24, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
129, 21, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
133, 17, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
148, 2, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
133, 17, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
148, 2, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
133, 17, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
133, 17, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
149, 1, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
130, 20, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
146, 4, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
129, 21, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
132, 18, 3, 0,cloth, 0.2
134, 16, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
145, 5, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
136, 14, 3, 0,cloth, 0.2
147, 3, 3, 0,cloth, 0.2
143, 7, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
135, 15, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
148, 2, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
133, 17, 3, 0,cloth, 0.2
138, 12, 3, 0,cloth, 0.2
142, 8, 3, 0,cloth, 0.2
139, 11, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
141, 9, 3, 0,cloth, 0.2
144, 6, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
137, 13, 3, 0,cloth, 0.2
140, 10, 3, 0,cloth, 0.2
