Susceptible, Exposed, Infectious, Recovered, Scenario
137, 13, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
146, 4, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
145, 5, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
147, 3, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
127, 23, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
126, 24, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
125, 25, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
130, 20, 3, 0,ClothMask
128, 22, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
124, 26, 3, 0,ClothMask
145, 5, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
128, 22, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
130, 20, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
145, 5, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
147, 3, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
130, 20, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
124, 26, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
124, 26, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
145, 5, 3, 0,ClothMask
146, 4, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
145, 5, 3, 0,ClothMask
128, 22, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
145, 5, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
126, 24, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
147, 3, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
127, 23, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
149, 1, 3, 0,ClothMask
145, 5, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
130, 20, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
128, 22, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
123, 27, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
146, 4, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
128, 22, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
146, 4, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
126, 24, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
143, 7, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
126, 24, 3, 0,ClothMask
130, 20, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
142, 8, 3, 0,ClothMask
124, 26, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
126, 24, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
126, 24, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
132, 18, 3, 0,ClothMask
134, 16, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
146, 4, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
138, 12, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
130, 20, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
129, 21, 3, 0,ClothMask
136, 14, 3, 0,ClothMask
139, 11, 3, 0,ClothMask
144, 6, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
131, 19, 3, 0,ClothMask
126, 24, 3, 0,ClothMask
141, 9, 3, 0,ClothMask
133, 17, 3, 0,ClothMask
140, 10, 3, 0,ClothMask
137, 13, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
135, 15, 3, 0,ClothMask
147, 3, 3, 0,ClothMask
