Susceptible, Exposed, Infectious, Recovered, Scenario
39, 36, 3, 0,SD
46, 29, 3, 0,SD
42, 33, 3, 0,SD
55, 20, 3, 0,SD
52, 23, 3, 0,SD
43, 32, 3, 0,SD
41, 34, 3, 0,SD
45, 30, 3, 0,SD
37, 38, 3, 0,SD
46, 29, 3, 0,SD
46, 29, 3, 0,SD
34, 41, 3, 0,SD
48, 27, 3, 0,SD
43, 32, 3, 0,SD
50, 25, 3, 0,SD
44, 31, 3, 0,SD
36, 39, 3, 0,SD
44, 31, 3, 0,SD
48, 27, 3, 0,SD
53, 22, 3, 0,SD
41, 34, 3, 0,SD
43, 32, 3, 0,SD
47, 28, 3, 0,SD
43, 32, 3, 0,SD
53, 22, 3, 0,SD
39, 36, 3, 0,SD
57, 18, 3, 0,SD
45, 30, 3, 0,SD
53, 22, 3, 0,SD
41, 34, 3, 0,SD
54, 21, 3, 0,SD
54, 21, 3, 0,SD
54, 21, 3, 0,SD
46, 29, 3, 0,SD
37, 38, 3, 0,SD
48, 27, 3, 0,SD
46, 29, 3, 0,SD
47, 28, 3, 0,SD
47, 28, 3, 0,SD
47, 28, 3, 0,SD
43, 32, 3, 0,SD
44, 31, 3, 0,SD
47, 28, 3, 0,SD
44, 31, 3, 0,SD
47, 28, 3, 0,SD
45, 30, 3, 0,SD
53, 22, 3, 0,SD
56, 19, 3, 0,SD
49, 26, 3, 0,SD
50, 25, 3, 0,SD
41, 34, 3, 0,SD
39, 36, 3, 0,SD
37, 38, 3, 0,SD
58, 17, 3, 0,SD
46, 29, 3, 0,SD
45, 30, 3, 0,SD
43, 32, 3, 0,SD
41, 34, 3, 0,SD
38, 37, 3, 0,SD
53, 22, 3, 0,SD
47, 28, 3, 0,SD
45, 30, 3, 0,SD
54, 21, 3, 0,SD
46, 29, 3, 0,SD
46, 29, 3, 0,SD
40, 35, 3, 0,SD
45, 30, 3, 0,SD
44, 31, 3, 0,SD
41, 34, 3, 0,SD
44, 31, 3, 0,SD
53, 22, 3, 0,SD
48, 27, 3, 0,SD
53, 22, 3, 0,SD
44, 31, 3, 0,SD
46, 29, 3, 0,SD
44, 31, 3, 0,SD
41, 34, 3, 0,SD
46, 29, 3, 0,SD
49, 26, 3, 0,SD
49, 26, 3, 0,SD
48, 27, 3, 0,SD
45, 30, 3, 0,SD
41, 34, 3, 0,SD
51, 24, 3, 0,SD
47, 28, 3, 0,SD
41, 34, 3, 0,SD
40, 35, 3, 0,SD
47, 28, 3, 0,SD
48, 27, 3, 0,SD
43, 32, 3, 0,SD
42, 33, 3, 0,SD
46, 29, 3, 0,SD
41, 34, 3, 0,SD
42, 33, 3, 0,SD
43, 32, 3, 0,SD
54, 21, 3, 0,SD
39, 36, 3, 0,SD
40, 35, 3, 0,SD
54, 21, 3, 0,SD
52, 23, 3, 0,SD
50, 25, 3, 0,SD
46, 29, 3, 0,SD
45, 30, 3, 0,SD
47, 28, 3, 0,SD
41, 34, 3, 0,SD
49, 26, 3, 0,SD
39, 36, 3, 0,SD
50, 25, 3, 0,SD
52, 23, 3, 0,SD
54, 21, 3, 0,SD
44, 31, 3, 0,SD
47, 28, 3, 0,SD
48, 27, 3, 0,SD
46, 29, 3, 0,SD
43, 32, 3, 0,SD
47, 28, 3, 0,SD
46, 29, 3, 0,SD
46, 29, 3, 0,SD
53, 22, 3, 0,SD
46, 29, 3, 0,SD
53, 22, 3, 0,SD
41, 34, 3, 0,SD
45, 30, 3, 0,SD
50, 25, 3, 0,SD
51, 24, 3, 0,SD
43, 32, 3, 0,SD
55, 20, 3, 0,SD
47, 28, 3, 0,SD
42, 33, 3, 0,SD
50, 25, 3, 0,SD
43, 32, 3, 0,SD
48, 27, 3, 0,SD
41, 34, 3, 0,SD
52, 23, 3, 0,SD
37, 38, 3, 0,SD
45, 30, 3, 0,SD
51, 24, 3, 0,SD
45, 30, 3, 0,SD
44, 31, 3, 0,SD
48, 27, 3, 0,SD
48, 27, 3, 0,SD
44, 31, 3, 0,SD
40, 35, 3, 0,SD
48, 27, 3, 0,SD
43, 32, 3, 0,SD
46, 29, 3, 0,SD
46, 29, 3, 0,SD
36, 39, 3, 0,SD
41, 34, 3, 0,SD
48, 27, 3, 0,SD
42, 33, 3, 0,SD
39, 36, 3, 0,SD
48, 27, 3, 0,SD
48, 27, 3, 0,SD
43, 32, 3, 0,SD
44, 31, 3, 0,SD
47, 28, 3, 0,SD
44, 31, 3, 0,SD
45, 30, 3, 0,SD
47, 28, 3, 0,SD
43, 32, 3, 0,SD
45, 30, 3, 0,SD
46, 29, 3, 0,SD
44, 31, 3, 0,SD
55, 20, 3, 0,SD
39, 36, 3, 0,SD
35, 40, 3, 0,SD
43, 32, 3, 0,SD
55, 20, 3, 0,SD
44, 31, 3, 0,SD
49, 26, 3, 0,SD
48, 27, 3, 0,SD
49, 26, 3, 0,SD
40, 35, 3, 0,SD
41, 34, 3, 0,SD
51, 24, 3, 0,SD
51, 24, 3, 0,SD
51, 24, 3, 0,SD
45, 30, 3, 0,SD
53, 22, 3, 0,SD
51, 24, 3, 0,SD
45, 30, 3, 0,SD
49, 26, 3, 0,SD
53, 22, 3, 0,SD
50, 25, 3, 0,SD
45, 30, 3, 0,SD
44, 31, 3, 0,SD
46, 29, 3, 0,SD
49, 26, 3, 0,SD
39, 36, 3, 0,SD
47, 28, 3, 0,SD
50, 25, 3, 0,SD
47, 28, 3, 0,SD
40, 35, 3, 0,SD
46, 29, 3, 0,SD
48, 27, 3, 0,SD
51, 24, 3, 0,SD
46, 29, 3, 0,SD
39, 36, 3, 0,SD
51, 24, 3, 0,SD
50, 25, 3, 0,SD
48, 27, 3, 0,SD
46, 29, 3, 0,SD
53, 22, 3, 0,SD
50, 25, 3, 0,SD
51, 24, 3, 0,SD
39, 36, 3, 0,SD
44, 31, 3, 0,SD
46, 29, 3, 0,SD
42, 33, 3, 0,SD
41, 34, 3, 0,SD
49, 26, 3, 0,SD
49, 26, 3, 0,SD
44, 31, 3, 0,SD
47, 28, 3, 0,SD
51, 24, 3, 0,SD
50, 25, 3, 0,SD
47, 28, 3, 0,SD
42, 33, 3, 0,SD
49, 26, 3, 0,SD
45, 30, 3, 0,SD
51, 24, 3, 0,SD
47, 28, 3, 0,SD
45, 30, 3, 0,SD
49, 26, 3, 0,SD
52, 23, 3, 0,SD
50, 25, 3, 0,SD
44, 31, 3, 0,SD
41, 34, 3, 0,SD
50, 25, 3, 0,SD
52, 23, 3, 0,SD
51, 24, 3, 0,SD
45, 30, 3, 0,SD
53, 22, 3, 0,SD
50, 25, 3, 0,SD
43, 32, 3, 0,SD
48, 27, 3, 0,SD
42, 33, 3, 0,SD
50, 25, 3, 0,SD
33, 42, 3, 0,SD
40, 35, 3, 0,SD
47, 28, 3, 0,SD
50, 25, 3, 0,SD
42, 33, 3, 0,SD
45, 30, 3, 0,SD
40, 35, 3, 0,SD
49, 26, 3, 0,SD
49, 26, 3, 0,SD
48, 27, 3, 0,SD
49, 26, 3, 0,SD
51, 24, 3, 0,SD
45, 30, 3, 0,SD
47, 28, 3, 0,SD
64, 11, 3, 0,SD
50, 25, 3, 0,SD
52, 23, 3, 0,SD
49, 26, 3, 0,SD
43, 32, 3, 0,SD
49, 26, 3, 0,SD
47, 28, 3, 0,SD
48, 27, 3, 0,SD
48, 27, 3, 0,SD
47, 28, 3, 0,SD
37, 38, 3, 0,SD
53, 22, 3, 0,SD
49, 26, 3, 0,SD
48, 27, 3, 0,SD
44, 31, 3, 0,SD
44, 31, 3, 0,SD
48, 27, 3, 0,SD
37, 38, 3, 0,SD
57, 18, 3, 0,SD
50, 25, 3, 0,SD
47, 28, 3, 0,SD
52, 23, 3, 0,SD
47, 28, 3, 0,SD
44, 31, 3, 0,SD
