Susceptible, Exposed, Infectious, Recovered, Scenario
5, 10, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
3, 12, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
2, 13, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
14, 1, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
2, 13, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
14, 1, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
2, 13, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
3, 12, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
3, 12, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
3, 12, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
3, 12, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
2, 13, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
1, 14, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
3, 12, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
3, 12, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
14, 1, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
2, 13, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
2, 13, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
3, 12, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
2, 13, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
14, 1, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
2, 13, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
14, 1, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
6, 9, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
10, 5, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
5, 10, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
7, 8, 3, 60,SD/Vaccinated
12, 3, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
11, 4, 3, 60,SD/Vaccinated
8, 7, 3, 60,SD/Vaccinated
9, 6, 3, 60,SD/Vaccinated
13, 2, 3, 60,SD/Vaccinated
4, 11, 3, 60,SD/Vaccinated
